Game,Console,Name,Publisher,Developer,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,rating,ratings_count,metacritic,genres,platforms,Publisher_clean
PS3_The Legend of Heroes: Trails in the Sky FC,PS3,The Legend of Heroes: Trails in the Sky FC,Falcom Corporation,Nihon Falcom Corporation,0,40000,0,0,40000,0,13/12/2012,,,,,,,falcom
PS3_The Legend of Heroes: Trails in the Sky SC,PS3,The Legend of Heroes: Trails in the Sky SC,Falcom Corporation,Nihon Falcom Corporation,0,20000,0,0,20000,0,25/04/2013,,,,,,,falcom
PS3_The Legend of Heroes VI: Sora no Kiseki the 3rd,PS3,The Legend of Heroes VI: Sora no Kiseki the 3rd,Falcom Corporation,Unknown,0,10000,0,0,10000,0,27/06/2013,,,,,,,falcom
PS4_Bullet Girls: Phantasia,PS4,Bullet Girls: Phantasia,Experience Inc.,Shade,0,20000,0,0,20000,0,09/08/2018,23/03/2019,,,,,,experience
PS3_Mayhem 3D,PS3,Mayhem 3D,Evolved Games,Zoo Games,0,60000,50000,0,0,10000,22/03/2011,,,,,,,evolved games
PS4_Dark Envoy,PS4,Dark Envoy,Event Horizon Software,Event Horizon Software,0,0,0,0,0,0,01/12/2020,09/08/2019,,,,,,event horizon software
PS5_Fortnite,PS5,Fortnite,Epic Games,Epic Games,0,0,0,0,0,0,12/11/2020,13/06/2020,,,,,,epic games
PS4_Alan Wake Remastered,PS4,Alan Wake Remastered,Epic Games,Remedy Entertainment,0,0,0,0,0,0,05/10/2021,11/09/2021,4,208,,"Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",epic games
PS4_Tonari ni Kanojo no Iru Shiawase: Winter Guest,PS4,Tonari ni Kanojo no Iru Shiawase: Winter Guest,Entergram,Entergram,0,0,0,0,0,0,28/06/2018,12/08/2018,,,,,,entergram
PS4_RepKiss,PS4,RepKiss,Entergram,Entergram,0,0,0,0,0,0,13/04/2017,21/09/2018,,,,,,entergram
PS4_Full Kiss,PS4,Full Kiss,Entergram,Giga,0,0,0,0,0,0,28/03/2019,23/03/2019,,,,,,entergram
PS4_Floral Flowlove,PS4,Floral Flowlove,Entergram,Entergram,0,0,0,0,0,0,23/08/2018,26/09/2018,,,,,,entergram
PS4_Boku to Nurse no Kenshuu Nisshi,PS4,Boku to Nurse no Kenshuu Nisshi,Entergram,Entergram,0,0,0,0,0,0,23/08/2018,26/09/2018,,,,,,entergram
PS4_D.S.: Dal Segno,PS4,D.S.: Dal Segno,Entergram,Entergram,0,0,0,0,0,0,22/03/2018,07/04/2018,,,,,,entergram
PS4_The Forest,PS4,The Forest,Endnight Games Ltd,Endnight Games Ltd,0,0,0,0,0,0,01/01/2016,,3.74,922,,"Indie, Adventure, Action","PC, PlayStation 4",endnight games
PS4_Closers,PS4,Closers,En Masse Entertainment,Naddic Games,0,0,0,0,0,0,31/12/2020,24/03/2019,,,,,,en masse entertainment
PS5_Kena: Bridge of Spirits,PS5,Kena: Bridge of Spirits,Ember Lab,Ember Lab,0,0,0,0,0,0,01/12/2021,11/06/2020,3.99,452,80,"Shooter, Adventure, Action, Strategy, Indie","PC, PlayStation 5, PlayStation 4, Xbox Series S/X",ember lab
PS4_Never Alone,PS4,Never Alone,E-Line Media,Unknown,0,0,0,0,0,0,18/11/2014,,3.47,611,70,"Casual, Indie, Adventure","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux, PlayStation 3, Wii U",e line media
PS5_EA Sports FC 24,PS5,EA Sports FC 24,Electronic Arts,EA Sports,0,0,0,0,0,0,29/09/2023,06/11/2023,3.48,64,,"Casual, Simulation, Sports","PC, PlayStation 5, PlayStation 4, Xbox Series S/X, Nintendo Switch",electronic arts
PS5_Dead Space (2023),PS5,Dead Space (2023),Electronic Arts,Motive Studios,0,0,0,0,0,0,27/01/2023,04/06/2022,,,,,,electronic arts
PS5_F1 23,PS5,F1 23,Electronic Arts,Codemasters,0,0,0,0,0,0,16/06/2023,23/06/2023,3.67,21,,"Racing, Simulation, Sports","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",electronic arts
PS5_FIFA 21,PS5,FIFA 21,Electronic Arts,EA Vancouver,0,0,0,0,0,0,31/12/2020,19/06/2020,3.21,264,67,Sports,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",electronic arts
PS5_Battlefield VI,PS5,Battlefield VI,Electronic Arts,EA DICE,0,0,0,0,0,0,01/12/2021,18/06/2020,,,,,,electronic arts
PS5_Madden NFL 26,PS5,Madden NFL 26,Electronic Arts,EA Orlando,0,0,0,0,0,0,14/08/2025,10/06/2025,,,,,,electronic arts
PS4_FIFA 17,PS4,FIFA 17,Electronic Arts,EA Canada,0,10940000,1260000,7950000,120000,1610000,27/09/2016,28/03/2018,3.31,588,85,Sports,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3",electronic arts
