Game,Console,Name,Publisher,Developer,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,rating,ratings_count,metacritic,genres,platforms,Publisher_clean
PS3_Winter Sports 3: The Great Tournament,PS3,Winter Sports 3: The Great Tournament,Zoo Games,49Games,0,30000,0,30000,0,0,29/03/2011,,,,,,,zoo games
PS3_Kevin Van Dam: Big Bass Challenge,PS3,Kevin Van Dam: Big Bass Challenge,Zoo Games,Zoo Games,0,0,0,0,0,0,30/06/2011,,,,,,,zoo games
PS4_Stick It to the Man,PS4,Stick It to the Man,Zoink Games,Unknown,0,0,0,0,0,0,06/05/2014,,,,,,,zoink games
PS3_Stick It to the Man,PS3,Stick It to the Man,Zoink Games,Unknown,0,0,0,0,0,0,19/11/2013,,,,,,,zoink games
PS4_Death Coming,PS4,Death Coming,Zodiac Interactive,NEXT Studios,0,0,0,0,0,0,26/02/2019,20/04/2019,3.52,45,,"Adventure, RPG, Puzzle, Casual, Strategy, Simulation, Indie","PC, PlayStation 4, Nintendo Switch, iOS",zodiac interactive
PS4_KickBeat,PS4,KickBeat,Zen Studios,Unknown,0,0,0,0,0,0,01/01/2015,,,,,,,zen studios
PS3_Star Wars Pinball,PS3,Star Wars Pinball,Zen Studios,Unknown,0,0,0,0,0,0,14/05/2013,,3.18,11,,Arcade,"Nintendo Switch, Nintendo 3DS, PlayStation 3, PS Vita, Wii U",zen studios
PS3_Zen Pinball 2,PS3,Zen Pinball 2,Zen Studios,Unknown,0,0,0,0,0,0,04/09/2012,,3.17,23,,"Casual, Arcade, Simulation","PlayStation 4, macOS, PlayStation 3, Wii U",zen studios
PS3_ibb and obb,PS3,ibb and obb,Zen Studios,Unknown,0,0,0,0,0,0,06/08/2013,,,,,,,zen studios
PS3_KickBeat,PS3,KickBeat,Zen Studios,Unknown,0,0,0,0,0,0,03/09/2013,,2.82,57,,"Indie, Action","PC, PlayStation 3, PS Vita",zen studios
PS4_Ironclad Tactics,PS4,Ironclad Tactics,Zachtronics Industries,Unknown,0,0,0,0,0,0,01/01/2015,,3,15,69,"Casual, Strategy, Indie","PC, PlayStation 4, Android, macOS, Linux",zachtronics industries
PS4_Disco Elysium,PS4,Disco Elysium,ZA/UM,ZA/UM,0,0,0,0,0,0,31/03/2021,31/05/2020,4.38,1294,91,"Indie, Adventure, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS",za um
PS5_Bugsnax,PS5,Bugsnax,Young Horses,Young Horses,0,0,0,0,0,0,12/11/2020,13/06/2020,3.54,174,76,"Casual, Indie, Adventure, Action","PC, PlayStation 5, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS, macOS",young horses
PS4_Octodad: Dadliest Catch,PS4,Octodad: Dadliest Catch,Young Horses,Unknown,0,0,0,0,0,0,22/04/2014,,3.73,362,69,"Adventure, Action, Simulation, Family, Indie","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux, PS Vita, Wii U",young horses
PS4_Bugsnax,PS4,Bugsnax,Young Horses,Young Horses,0,0,0,0,0,0,01/12/2020,13/06/2020,3.54,174,76,"Casual, Indie, Adventure, Action","PC, PlayStation 5, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS, macOS",young horses
PS4_Koihime Enbu,PS4,Koihime Enbu,Yeti,Boss Alien Ltd.,0,30000,0,0,30000,0,28/01/2016,,,,,,,yeti
PS4_Maitetsu: Pure Station,PS4,Maitetsu: Pure Station,Yeti,Lose,0,10000,0,0,10000,0,26/07/2018,29/08/2018,0,0,,Adventure,PlayStation 4,yeti
PS3_Koihime Enbu,PS3,Koihime Enbu,Yeti,Boss Alien Ltd.,0,0,0,0,0,0,30/09/2015,,,,,,,yeti
PS4_Red Goddess: Inner World,PS4,Red Goddess: Inner World,Yanim Studio,Yanim Studio,0,0,0,0,0,0,30/06/2015,07/09/2018,0,1,53,"Indie, Adventure, Action","PC, PlayStation 4",yanim studio
PS3_Yamasa Digi World SP: Bounty Killer,PS3,Yamasa Digi World SP: Bounty Killer,Yamasa Entertainment,Yamasa Entertainment,0,0,0,0,0,0,30/10/2008,,,,,,,yamasa entertainment
PS3_Yamasa Digi World SP: Pachi-Slot Sengoku Musou,PS3,Yamasa Digi World SP: Pachi-Slot Sengoku Musou,Yamasa Entertainment,Yamasa Entertainment,0,0,0,0,0,0,06/09/2007,,,,,,,yamasa entertainment
PS4_Shovel Knight,PS4,Shovel Knight,Yacht Club Games,Yacht Club Games,190000,140000,80000,40000,0,20000,21/04/2015,21/11/2018,4.3,474,85,"Indie, Platformer, Adventure, Action","PC, PlayStation 4, Xbox One, Nintendo Switch, Nintendo 3DS, macOS, Linux, PlayStation 3, PS Vita, Wii U",yacht club games
PS4_Cyber Shadow,PS4,Cyber Shadow,Yacht Club Games,Mechanical Head Studios,0,0,0,0,0,0,01/12/2020,16/07/2020,3.79,66,80,"Platformer, Indie, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch, macOS",yacht club games
PS3_Shovel Knight,PS3,Shovel Knight,Yacht Club Games,Yacht Club Games,0,0,0,0,0,0,21/04/2015,,4.3,474,85,"Indie, Platformer, Adventure, Action","PC, PlayStation 4, Xbox One, Nintendo Switch, Nintendo 3DS, macOS, Linux, PlayStation 3, PS Vita, Wii U",yacht club games
PS4_Fate/Extella: The Umbral Star,PS4,Fate/Extella: The Umbral Star,Xseed Games,Marvelous Entertainment,0,270000,120000,0,120000,30000,17/01/2017,13/01/2018,3.67,6,68,Action,"PC, PlayStation 4, Nintendo Switch, PS Vita",marvelous
PS4_Senran Kagura: Peach Beach Splash,PS4,Senran Kagura: Peach Beach Splash,Xseed Games,Marvelous Entertainment,100000,210000,90000,20000,80000,20000,26/09/2017,30/06/2018,,,,,,marvelous
PS4_Earth Defense Force 4.1: The Shadow of New Despair,PS4,Earth Defense Force 4.1: The Shadow of New Despair,Xseed Games,Sandlot,0,190000,50000,20000,110000,10000,08/12/2015,26/04/2018,,,,,,marvelous
PS4_Senran Kagura: Estival Versus,PS4,Senran Kagura: Estival Versus,Xseed Games,Marvelous Entertainment,0,180000,80000,0,90000,20000,15/03/2016,29/06/2018,,,,,,marvelous
PS4_Akiba's Trip: Undead & Undressed,PS4,Akiba's Trip: Undead & Undressed,Xseed Games,Acquire,0,130000,90000,0,20000,20000,25/11/2014,12/11/2018,,,,,,marvelous
PS4_Fate/Extella Link,PS4,Fate/Extella Link,Xseed Games,Marvelous,0,120000,0,0,120000,0,19/02/2019,30/12/2018,3.95,21,76,Action,"PC, PlayStation 4, Nintendo Switch, PS Vita",marvelous
PS4_Shantae: Half-Genie Hero,PS4,Shantae: Half-Genie Hero,Xseed Games,Way Forward Technologies,0,80000,60000,0,10000,10000,20/12/2016,30/12/2018,3.77,128,76,"Indie, Platformer, Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3, PS Vita, Wii U",marvelous
PS4_Akiba's Beat,PS4,Akiba's Beat,Xseed Games,Acquire,0,80000,50000,0,10000,10000,16/05/2017,01/08/2018,2.57,14,55,"Action, RPG","PlayStation 4, PS Vita",marvelous
PS4_Nitroplus Blasterz: Heroines Infinite Duel,PS4,Nitroplus Blasterz: Heroines Infinite Duel,Xseed Games,Examu Inc.,0,50000,10000,10000,30000,0,02/02/2016,,3.38,13,63,"Arcade, Action, Fighting","PC, PlayStation 4, PlayStation 3",marvelous
PS4_Senran Kagura Burst Re:Newal,PS4,Senran Kagura Burst Re:Newal,Xseed Games,HONEY PARADE GAMES,0,40000,0,0,40000,0,15/01/2019,24/03/2019,3.8,20,,Action,"PC, PlayStation 4",marvelous
PS4_The Legend of Heroes: Trails of Cold Steel II Kai - The Erebonian Civil War,PS4,The Legend of Heroes: Trails of Cold Steel II Kai - The Erebonian Civil War,Xseed Games,Nihon Falcom Corporation,0,20000,0,0,20000,0,19/03/2019,20/05/2018,,,,,,marvelous
PS4_Gungrave VR,PS4,Gungrave VR,Xseed Games,IGGYMOB,0,10000,10000,0,0,0,11/12/2018,22/09/2018,0,2,,"Shooter, Action","PC, PlayStation 4",marvelous
PS4_Sakuna: Of Rice and Ruin,PS4,Sakuna: Of Rice and Ruin,Xseed Games,Edelweiss,0,0,0,0,0,0,10/11/2020,,3.75,37,80,"Platformer, Indie, Action, Simulation","PC, PlayStation 4, Nintendo Switch",marvelous
PS4_Granblue Fantasy Versus,PS4,Granblue Fantasy Versus,Xseed Games,Arc System Works,150000,0,0,0,0,0,18/02/2020,06/08/2019,,,,,,marvelous
PS3_Killer is Dead,PS3,Killer is Dead,Xseed Games,Grasshopper Manufacture,0,240000,120000,40000,50000,30000,27/08/2013,,3.57,119,,"Adventure, Action","PC, Xbox One, Xbox 360, PlayStation 3",marvelous
PS3_The Legend of Heroes: Trails of Cold Steel II,PS3,The Legend of Heroes: Trails of Cold Steel II,Xseed Games,Nihon Falcom Corporation,0,220000,50000,40000,110000,20000,06/09/2016,,4.32,50,,RPG,"PC, PlayStation 4, PlayStation 3, PS Vita",marvelous
PS3_The Legend of Heroes: Trails of Cold Steel,PS3,The Legend of Heroes: Trails of Cold Steel,Xseed Games,Nihon Falcom Corporation,0,210000,60000,20000,120000,20000,22/12/2015,,4.01,100,79,RPG,"PC, PlayStation 4, PlayStation 3, PS Vita",marvelous
PS3_Akiba's Trip: Undead & Undressed,PS3,Akiba's Trip: Undead & Undressed,Xseed Games,Acquire,0,130000,60000,10000,40000,20000,12/08/2014,,,,,,,marvelous
PS3_Ragnarok Odyssey Ace,PS3,Ragnarok Odyssey Ace,Xseed Games,Game Arts,0,40000,30000,0,0,10000,01/04/2014,,3.23,13,64,"Action, RPG","PlayStation 3, PS Vita",marvelous
PS3_Nitroplus Blasterz: Heroines Infinite Duel,PS3,Nitroplus Blasterz: Heroines Infinite Duel,Xseed Games,Examu Inc.,0,20000,0,0,20000,0,02/02/2016,,3.38,13,63,"Arcade, Action, Fighting","PC, PlayStation 4, PlayStation 3",marvelous
PS3_Do Not Fall,PS3,Do Not Fall,XPEC Entertainment,Unknown,0,0,0,0,0,0,23/06/2013,,0,1,,"Casual, Indie, Adventure, Action","PC, PlayStation 3",xpec entertainment
PS4_Super Motherload,PS4,Super Motherload,XGen Studios,Unknown,0,0,0,0,0,0,01/01/2014,,3.33,39,,"Adventure, RPG, Puzzle, Casual, Indie","PC, PlayStation 4, PlayStation 3",xgen studios
PS3_Super Motherload,PS3,Super Motherload,XGen Studios,Unknown,0,0,0,0,0,0,01/01/2014,,3.33,39,,"Adventure, RPG, Puzzle, Casual, Indie","PC, PlayStation 4, PlayStation 3",xgen studios
PS5_Forza Horizon 5,PS5,Forza Horizon 5,Xbox Game Studios,Playground Games,0,0,0,0,0,0,29/04/2025,14/07/2025,,,,,,xbox game studios
PS4_Magic Duels: Origin,PS4,Magic Duels: Origin,Wizards of the Coast,Wizards of the Coast,0,0,0,0,0,0,01/01/2016,,,,,,,wizards of the coast
PS3_Magic 2014: Duels of the Planeswalkers,PS3,Magic 2014: Duels of the Planeswalkers,Wizards of the Coast,Stainless Games,0,0,0,0,0,0,26/06/2013,,,,,,,wizards of the coast
PS4_The Town of Light,PS4,The Town of Light,Wired Productions,LKA,0,30000,20000,0,0,10000,24/03/2017,01/02/2018,2.9,68,,"Indie, Adventure","PC, Xbox One, PlayStation 4, Nintendo Switch",wired productions
PS4_Super Dungeon Bros,PS4,Super Dungeon Bros,Wired Productions,React Games,0,30000,20000,0,0,10000,01/11/2016,16/09/2018,2.62,13,,"Casual, Indie, Adventure, Action","PC, Xbox One, PlayStation 4, macOS",wired productions
PS4_Shaq-Fu: A Legend Reborn,PS4,Shaq-Fu: A Legend Reborn,Wired Productions,Big Deez Productions,0,20000,20000,0,0,0,05/06/2018,18/03/2019,,,,,,wired productions
PS4_Just Deal With It,PS4,Just Deal With It,Wired Productions,Wired Productions,0,10000,10000,0,0,0,04/12/2018,12/10/2018,,,,,,wired productions
PS4_Wordhunters,PS4,Wordhunters,Wired Productions,thumbfood Ltd.,0,10000,10000,0,0,0,04/12/2018,30/09/2018,0,0,,Puzzle,PlayStation 4,wired productions
PS4_AVICII Invector,PS4,AVICII Invector,Wired Productions,Wired Productions,0,0,0,0,0,0,11/12/2019,17/08/2020,3.84,24,81,"Casual, Indie, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",wired productions
PS4_Close to the Sun,PS4,Close to the Sun,Wired Productions,Storm in a Teacup,0,0,0,0,0,0,01/12/2019,19/05/2019,3.48,80,66,"Indie, Adventure, Action, Puzzle","PC, Xbox One, PlayStation 4, Nintendo Switch",wired productions
PS4_XING: The Land Beyond,PS4,XING: The Land Beyond,White Lotus Interactive,Unknown,0,0,0,0,0,0,01/01/2017,,0,3,,"Indie, Adventure","PC, PlayStation 4",white lotus interactive
PS3_Shantae: Half-Genie Hero,PS3,Shantae: Half-Genie Hero,WayForward Technologies,Way Forward Technologies,0,0,0,0,0,0,01/04/2016,,3.77,128,76,"Indie, Platformer, Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3, PS Vita, Wii U",wayforward technologies
PS4_Pier Solar and the Great Architects,PS4,Pier Solar and the Great Architects,WaterMelon,WaterMelon Development,0,0,0,0,0,0,30/09/2014,,2.9,10,73,RPG,"PC, PlayStation 4, Xbox One, macOS, Linux, PlayStation 3, Wii U",watermelon
PS3_Pier Solar and the Great Architects,PS3,Pier Solar and the Great Architects,WaterMelon,WaterMelon Development,0,0,0,0,0,0,30/09/2014,,2.9,10,73,RPG,"PC, PlayStation 4, Xbox One, macOS, Linux, PlayStation 3, Wii U",watermelon
PS5_Suicide Squad: Kill the Justice League,PS5,Suicide Squad: Kill the Justice League,Warner Bros. Interactive Entertainment,Rocksteady Studios,0,0,0,0,0,0,01/12/2021,22/08/2020,2.12,70,,Action,"PC, PlayStation 5, Xbox Series S/X",warner bros interactive entertainment
PS5_Gotham Knights,PS5,Gotham Knights,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,0,0,0,0,0,0,25/10/2022,22/08/2020,2.61,131,66,"Adventure, Action, RPG","PC, PlayStation 5, Xbox Series S/X",warner bros interactive entertainment
PS5_Hogwarts Legacy,PS5,Hogwarts Legacy,Warner Bros. Interactive Entertainment,Avalanche Studios,0,0,0,0,0,0,31/12/2021,16/09/2020,3.93,847,,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",warner bros interactive entertainment
PS4_The Witcher 3: Wild Hunt,PS4,The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,12400000,5390000,1480000,2820000,280000,810000,19/05/2015,04/05/2018,4.64,7037,92,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS",warner bros interactive entertainment
PS4_Mortal Kombat X,PS4,Mortal Kombat X,Warner Bros. Interactive Entertainment,NetherRealm Studios,0,3490000,1940000,940000,0,610000,14/04/2015,04/01/2018,3.86,2103,76,"Action, Fighting","PC, Xbox One, PlayStation 4",warner bros interactive entertainment
PS4_Middle-Earth: Shadow of Mordor,PS4,Middle-Earth: Shadow of Mordor,Warner Bros. Interactive Entertainment,Monolith Productions,2880000,3190000,1030000,1600000,50000,510000,30/09/2014,04/05/2018,3.91,2529,85,"Action, RPG","PC, PlayStation 4, Xbox One, macOS, Linux, Xbox 360, PlayStation 3",warner bros interactive entertainment
PS4_Middle-Earth: Shadow of War,PS4,Middle-Earth: Shadow of War,Warner Bros. Interactive Entertainment,Monolith Productions,0,2040000,820000,840000,60000,330000,10/10/2017,10/01/2018,3.86,1372,82,"Action, RPG","PC, Xbox One, PlayStation 4, Android",warner bros interactive entertainment
PS4_Lego Marvel Super Heroes,PS4,Lego Marvel Super Heroes,Warner Bros. Interactive Entertainment,Traveller's Tales,0,1910000,590000,1000000,10000,300000,15/11/2013,01/12/2018,3.83,672,78,"Family, Adventure, Action","PC, PlayStation 4, Xbox One, iOS, Android, Nintendo 3DS, Nintendo DS, macOS, Xbox 360, PlayStation 3, PS Vita, Wii U",warner bros interactive entertainment
PS4_Injustice 2,PS4,Injustice 2,Warner Bros. Interactive Entertainment,NetherRealm Studios,0,1720000,880000,540000,0,290000,16/05/2017,06/01/2018,3.92,950,88,Fighting,"PC, Xbox One, PlayStation 4, iOS, Android",warner bros interactive entertainment
PS4_Lego Star Wars: The Force Awakens,PS4,Lego Star Wars: The Force Awakens,Warner Bros. Interactive Entertainment,TT Fusion,0,1310000,300000,780000,20000,200000,28/06/2016,31/03/2018,3.62,278,75,"Adventure, Action, Puzzle","PC, PlayStation 4, Xbox One, iOS, Android, Nintendo 3DS, macOS, Xbox 360, PlayStation 3, PS Vita, Wii U",warner bros interactive entertainment
PS4_Mad Max (2013),PS4,Mad Max (2013),Warner Bros. Interactive Entertainment,Avalanche Studios,0,1200000,380000,590000,50000,190000,01/09/2015,05/01/2018,,,,,,warner bros interactive entertainment
PS4_LEGO Dimensions,PS4,LEGO Dimensions,Warner Bros. Interactive Entertainment,Traveller's Tales,0,1180000,480000,500000,0,200000,27/09/2015,19/03/2018,3.51,65,74,"Adventure, Action","Xbox One, PlayStation 4, iOS, Xbox 360, PlayStation 3, Wii U",warner bros interactive entertainment
PS4_LEGO Jurassic World,PS4,LEGO Jurassic World,Warner Bros. Interactive Entertainment,Traveller's Tales,0,1180000,410000,560000,20000,190000,12/06/2015,06/04/2018,3.72,204,72,"Family, Adventure, Action, Puzzle","PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, Android, Nintendo 3DS, macOS, Xbox 360, PlayStation 3, PS Vita, Wii U",warner bros interactive entertainment
PS4_LEGO Worlds,PS4,LEGO Worlds,Warner Bros. Interactive Entertainment,Traveller's Tales,0,1140000,210000,720000,40000,170000,07/03/2017,,3.15,219,66,Adventure,"PC, Xbox One, PlayStation 4, Nintendo Switch",warner bros interactive entertainment
PS4_LEGO Marvel Super Heroes 2,PS4,LEGO Marvel Super Heroes 2,Warner Bros. Interactive Entertainment,Traveller's Tales,0,1110000,330000,600000,0,180000,14/11/2017,11/02/2018,3.66,186,74,"Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS",warner bros interactive entertainment
PS4_LEGO Marvel's Avengers,PS4,LEGO Marvel's Avengers,Warner Bros. Interactive Entertainment,Traveller's Tales,0,1010000,310000,530000,10000,160000,26/01/2016,06/04/2018,3.66,225,67,"Adventure, Action","PC, PlayStation 4, Xbox One, iOS, Nintendo 3DS, macOS, Xbox 360, PlayStation 3, PS Vita, Wii U",warner bros interactive entertainment
PS4_Injustice: Gods Among Us Ultimate Edition,PS4,Injustice: Gods Among Us Ultimate Edition,Warner Bros. Interactive Entertainment,NetherRealm Studios,0,980000,460000,350000,0,170000,15/11/2013,22/04/2018,3.53,1414,80,"Arcade, Action, Fighting","PC, PlayStation 4, Xbox 360, PlayStation 3, PS Vita",warner bros interactive entertainment
PS4_Lego Batman 3: Beyond Gotham,PS4,Lego Batman 3: Beyond Gotham,Warner Bros. Interactive Entertainment,Traveller's Tales,0,940000,370000,420000,0,160000,11/11/2014,01/12/2018,3.62,227,75,"Family, Adventure, Action","PC, PlayStation 4, Xbox One, iOS, Android, Nintendo 3DS, macOS, PlayStation 3, PS Vita, Wii U",warner bros interactive entertainment
PS4_LEGO Harry Potter Collection,PS4,LEGO Harry Potter Collection,Warner Bros. Interactive Entertainment,Traveller's Tales,0,880000,70000,680000,0,130000,18/10/2016,23/05/2018,3.78,77,73,"Casual, Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",warner bros interactive entertainment
PS4_LEGO City Undercover,PS4,LEGO City Undercover,Warner Bros. Interactive Entertainment,TT Fusion,0,750000,170000,460000,10000,120000,04/04/2017,24/05/2018,3.93,163,80,"Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, Wii U",warner bros interactive entertainment
PS4_The LEGO Movie Videogame,PS4,The LEGO Movie Videogame,Warner Bros. Interactive Entertainment,TT Fusion,0,710000,260000,320000,10000,110000,07/02/2014,20/03/2018,,,,,,warner bros interactive entertainment
PS4_Batman: Return to Arkham,PS4,Batman: Return to Arkham,Warner Bros. Interactive Entertainment,Rocksteady Studios,0,640000,150000,390000,10000,100000,18/10/2016,10/06/2018,4.42,155,75,"Adventure, Action","Xbox One, PlayStation 4",warner bros interactive entertainment
PS4_LEGO The Hobbit,PS4,LEGO The Hobbit,Warner Bros. Interactive Entertainment,Traveller's Tales,0,620000,140000,390000,0,100000,08/04/2014,15/03/2018,3.41,465,70,"Family, Adventure, Action","PC, PlayStation 4, Xbox One, Nintendo 3DS, macOS, Xbox 360, PlayStation 3, PS Vita, Wii U",warner bros interactive entertainment
PS4_The Lego Ninjago Movie Videogame,PS4,The Lego Ninjago Movie Videogame,Warner Bros. Interactive Entertainment,Traveller's Tales,0,570000,160000,320000,0,90000,22/09/2017,29/05/2018,,,,,,warner bros interactive entertainment
PS4_LEGO The Incredibles,PS4,LEGO The Incredibles,Warner Bros. Interactive Entertainment,Traveller's Tales,0,530000,180000,270000,0,90000,15/06/2018,06/11/2018,3.4,70,69,"Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS",warner bros interactive entertainment
PS4_Hitman 2,PS4,Hitman 2,Warner Bros. Interactive Entertainment,IO Interactive,0,510000,190000,220000,20000,80000,13/11/2018,22/11/2018,4.05,1218,83,"Shooter, Action","PC, Xbox One, PlayStation 4",warner bros interactive entertainment
PS4_LEGO DC Super-Villains,PS4,LEGO DC Super-Villains,Warner Bros. Interactive Entertainment,Traveller's Tales,0,460000,220000,170000,0,80000,16/10/2018,04/06/2018,3.55,147,74,"Family, Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",warner bros interactive entertainment
PS4_Batman: Arkham VR,PS4,Batman: Arkham VR,Warner Bros. Interactive Entertainment,Rocksteady Studios,0,390000,320000,0,0,70000,11/10/2016,,3.85,109,74,"Adventure, Action, Simulation","PC, PlayStation 4",warner bros interactive entertainment
PS4_Cars 3: Driven to Win,PS4,Cars 3: Driven to Win,Warner Bros. Interactive Entertainment,Avalanche Software,0,290000,60000,180000,10000,40000,13/06/2017,14/01/2018,3.11,19,63,Racing,"Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, Wii U",warner bros interactive entertainment
PS4_Outlast Trinity,PS4,Outlast Trinity,Warner Bros. Interactive Entertainment,Red Barrels,0,220000,90000,90000,0,40000,25/04/2017,,,,,,,warner bros interactive entertainment
PS4_The Walking Dead - The Telltale Series: A New Frontier,PS4,The Walking Dead - The Telltale Series: A New Frontier,Warner Bros. Interactive Entertainment,Telltale Games,0,170000,110000,40000,0,30000,28/02/2017,,,,,,,warner bros interactive entertainment
PS4_Marvel's Guardians of the Galaxy: The Telltale Series,PS4,Marvel's Guardians of the Galaxy: The Telltale Series,Warner Bros. Interactive Entertainment,Telltale Games,0,120000,60000,40000,0,20000,02/05/2017,27/06/2018,3.58,197,72,Adventure,"PC, Xbox One, PlayStation 4, iOS, Android, macOS",warner bros interactive entertainment
PS4_The Walking Dead: A Telltale Series Collection,PS4,The Walking Dead: A Telltale Series Collection,Warner Bros. Interactive Entertainment,Telltale Games,0,70000,60000,0,0,10000,05/12/2017,,,,,,,warner bros interactive entertainment
PS4_Scribblenauts Mega Pack,PS4,Scribblenauts Mega Pack,Warner Bros. Interactive Entertainment,Shiver Games,0,40000,30000,0,0,10000,18/09/2018,20/02/2019,4.17,6,,Adventure,"Xbox One, PlayStation 4, Nintendo Switch",warner bros interactive entertainment
PS4_Whore of the Orient,PS4,Whore of the Orient,Warner Bros. Interactive Entertainment,Unknown,0,0,0,0,0,0,31/12/2020,,,,,,,warner bros interactive entertainment
PS4_Bastion,PS4,Bastion,Warner Bros. Interactive Entertainment,Supergiant Games,0,0,0,0,0,0,07/04/2015,24/05/2019,4.15,1667,86,"Indie, Adventure, Action, RPG","PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, macOS, Linux, Xbox 360, PS Vita",warner bros interactive entertainment
PS3_Mortal Kombat (2011),PS3,Mortal Kombat (2011),Warner Bros. Interactive Entertainment,NetherRealm Studios,0,2900000,1980000,540000,0,380000,19/04/2011,,4.32,34,85,Fighting,"Xbox 360, PlayStation 3",warner bros interactive entertainment
PS3_Batman: Arkham Origins,PS3,Batman: Arkham Origins,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,0,2400000,1080000,880000,40000,400000,25/10/2013,,3.95,1576,74,Action,"PC, Android, Xbox 360, PlayStation 3",warner bros interactive entertainment
PS3_Lego Marvel Super Heroes,PS3,Lego Marvel Super Heroes,Warner Bros. Interactive Entertainment,Traveller's Tales,0,1960000,770000,850000,10000,320000,22/10/2013,,3.83,672,78,"Family, Adventure, Action","PC, PlayStation 4, Xbox One, iOS, Android, Nintendo 3DS, Nintendo DS, macOS, Xbox 360, PlayStation 3, PS Vita, Wii U",warner bros interactive entertainment
PS3_Injustice: Gods Among Us,PS3,Injustice: Gods Among Us,Warner Bros. Interactive Entertainment,NetherRealm Studios,0,1280000,500000,560000,10000,210000,16/04/2013,,3.8,222,80,"Card, Arcade, Action, Fighting","PC, Xbox One, iOS, Android, Xbox 360, PlayStation 3, Wii U",warner bros interactive entertainment
PS3_LEGO Batman 2: DC Super Heroes,PS3,LEGO Batman 2: DC Super Heroes,Warner Bros. Interactive Entertainment,Traveller's Tales,0,1230000,500000,540000,0,190000,26/06/2012,,,,,,,warner bros interactive entertainment
PS3_LEGO The Lord of the Rings,PS3,LEGO The Lord of the Rings,Warner Bros. Interactive Entertainment,Unknown,0,1060000,370000,520000,0,160000,13/11/2012,,3.55,615,80,"Adventure, Action","PC, iOS, Android, Nintendo 3DS, Nintendo DS, Xbox 360, PlayStation 3, PS Vita, Wii",warner bros interactive entertainment
PS3_LEGO Jurassic World,PS3,LEGO Jurassic World,Warner Bros. Interactive Entertainment,Traveller's Tales,0,1020000,360000,490000,0,170000,12/06/2015,,3.72,204,72,"Family, Adventure, Action, Puzzle","PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, Android, Nintendo 3DS, macOS, Xbox 360, PlayStation 3, PS Vita, Wii U",warner bros interactive entertainment
PS3_The LEGO Movie Videogame,PS3,The LEGO Movie Videogame,Warner Bros. Interactive Entertainment,TT Fusion,0,980000,330000,470000,30000,160000,07/02/2014,,,,,,,warner bros interactive entertainment
PS3_Lego Batman 3: Beyond Gotham,PS3,Lego Batman 3: Beyond Gotham,Warner Bros. Interactive Entertainment,Traveller's Tales,0,840000,340000,360000,0,140000,11/11/2014,,3.62,227,75,"Family, Adventure, Action","PC, PlayStation 4, Xbox One, iOS, Android, Nintendo 3DS, macOS, PlayStation 3, PS Vita, Wii U",warner bros interactive entertainment
PS3_LEGO Dimensions,PS3,LEGO Dimensions,Warner Bros. Interactive Entertainment,Traveller's Tales,0,810000,260000,410000,0,130000,27/09/2015,,3.51,65,74,"Adventure, Action","Xbox One, PlayStation 4, iOS, Xbox 360, PlayStation 3, Wii U",warner bros interactive entertainment
PS3_Lollipop Chainsaw,PS3,Lollipop Chainsaw,Warner Bros. Interactive Entertainment,Grasshopper Manufacture,0,670000,270000,210000,110000,80000,12/06/2012,,3.91,151,68,"Adventure, Action","Xbox 360, PlayStation 3",warner bros interactive entertainment
PS3_Middle-Earth: Shadow of Mordor,PS3,Middle-Earth: Shadow of Mordor,Warner Bros. Interactive Entertainment,Monolith Productions,0,580000,220000,260000,10000,90000,18/11/2014,,3.91,2529,85,"Action, RPG","PC, PlayStation 4, Xbox One, macOS, Linux, Xbox 360, PlayStation 3",warner bros interactive entertainment
